Date,VADER_With_Duplicates,TextBlob_With_Duplicates,VADER_Without_Duplicates,TextBlob_Without_Duplicates,FinBERT_With_Duplicates,FinBERT_Without_Duplicates
2021-07-26,0.11615894736842106,0.0742375010119371,0.20021041666666664,0.09380338741945886,0.12474976646664895,0.18390869308263064
2021-07-27,0.1355236111111111,0.07733730775397442,0.18826808510638296,0.08869538263155284,0.03355181550270775,0.14836990475305356
2021-07-28,0.12948333333333334,0.10172655122655122,0.09612105263157895,0.06986699703804966,0.17440482995783288,0.12973095518536865
2021-07-29,0.26697692307692306,0.05361492673992674,0.27445652173913043,0.060608178053830224,0.10596554826658504,0.09079534381938477
2021-07-30,0.35223548387096776,0.15303097440194213,0.19152608695652173,0.1127808785417481,0.08270187754063836,0.09165390062591303
2021-07-31,0.24624615384615384,0.16783103648488262,0.33923000000000003,0.11030155955155956,0.08346263820735311,0.10880473637953406
2021-08-01,0.1582,0.08316239316239317,0.1582,0.08316239316239317,0.3614622484892607,0.3614622484892607
2021-08-02,0.3090425,0.06415584415584416,0.3182916666666667,0.0673953823953824,0.07210717983543871,0.07352960890986851
2021-08-03,0.24419285714285716,0.12298402355191207,0.252871875,0.1492910348801386,0.15909737061398724,0.1837924499559449
2021-08-04,0.15523809523809523,0.09116522366522367,0.14398947368421053,0.10432515948963317,0.00490903404230872,0.05190373057695595
2021-08-05,0.324185,0.17299494949494948,0.34124736842105263,0.18209994683678893,0.09615504238754509,0.10259941181069925
2021-08-06,0.23574102564102567,0.1358978428978429,0.25185769230769234,0.07884676434676435,0.11702728814755876,0.10272029018960893
2021-08-07,0.2931333333333333,0.027314814814814816,0.31978181818181817,0.0297979797979798,-0.009047766526540093,-0.014120957898822666
2021-08-08,0.22513846153846154,-0.0029380341880341923,0.1869,0.04575617283950617,-0.021019996358798095,-0.021859947592020028
2021-08-09,0.20108095238095236,0.06614087301587301,0.211135,0.06944791666666666,-0.011363798397637568,-0.01061758948490026
2021-08-10,0.3325896551724138,0.05960777728019107,0.28880869565217393,0.06739365706757011,0.041137785747133414,0.04688820770631231
2021-08-11,0.19475666666666666,0.07687863005050506,0.18921600000000002,0.0815876893939394,0.040745632443577054,0.04606379896264385
2021-08-12,0.18658636363636363,0.10896780303030304,0.1257125,0.09175781250000001,0.0026941972530700785,-0.03869988878860194
2021-08-13,0.369825,0.10842361111111111,0.3609769230769231,0.1173882783882784,0.16518175404053184,0.1620184208911199
2021-08-14,0.4088307692307692,0.16127136752136753,0.4429,0.17471064814814816,0.0008968687974489556,0.00316227258493502
2021-08-15,0.3457,0.08571428571428572,0.604975,0.15,0.015524886814611298,0.030076962709426856
2021-08-16,0.20824358974358978,0.14079632889156699,0.24286785714285714,0.12150599778150797,-0.10497544049165952,-0.1295546644270934
2021-08-17,0.09034705882352942,0.023801557239057237,0.063616,0.016370117845117844,-0.06867144077413659,0.048546243297795846
2021-08-18,0.173075,0.0930282738095238,0.15526521739130433,0.08890398550724639,-0.052275657587285584,-0.06839521811343732
2021-08-19,0.17064347826086956,0.0482487922705314,0.14990526315789474,0.03373538011695907,-0.013137102491505785,-0.017281356267631075
2021-08-20,0.21862941176470588,0.17158109455903572,0.25639999999999996,0.13458360055582277,0.10571852983797295,0.09996764977196496
2021-08-21,0.4879,0.17402777777777778,0.6128166666666667,0.20703703703703702,0.06481833930592984,0.07662025947744648
2021-08-22,0.10135,0.03463203463203463,0.12161999999999999,0.04155844155844156,0.0024066902697086334,0.0002777289599180388
2021-08-23,0.21661666666666668,0.1665398027898028,0.2475619047619048,0.16652167937882223,0.13649388526876766,0.1499579587862605
2021-08-24,0.11576774193548386,0.17851279544827933,0.07990000000000001,0.13636641136641137,0.0011493642664243888,0.010434097144752725
2021-08-25,0.2053684210526316,0.13735832004253057,0.20448333333333335,0.17211363636363639,0.015968111196630868,0.02141800808409848
